Doping,Doping concentration,Al_thick,%Al,Ion (mA/mm),GMmax (mS/mm),Vth(V)
0,2.00E+16,0.015,0.15,23.4535,74.064,-0.457
0,2.00E+16,0.015,0.17,38.9934,82.224,-0.716
0,2.00E+16,0.015,0.19,58.829,90.156,-0.977
0,2.00E+16,0.015,0.21,82.97375,97.828,-1.239
0,2.00E+16,0.015,0.23,111.45365,105.304,-1.506
0,2.00E+16,0.015,0.25,144.2335,112.492,-1.786
0,2.00E+16,0.015,0.27,181.2555,119.416,-2.067
0,2.00E+16,0.015,0.29,222.292,126.02,-2.349
0,2.00E+16,0.015,0.31,266.8915,131.646,-2.63
0,2.00E+16,0.017,0.15,34.3964,72.248,-0.695
0,2.00E+16,0.017,0.17,54.2288,80.044,-0.982
0,2.00E+16,0.017,0.19,78.8059,87.592,-1.286
0,2.00E+16,0.017,0.21,108.1394,94.88,-1.596
0,2.00E+16,0.017,0.23,142.2235,101.908,-1.899
0,2.00E+16,0.017,0.25,181.008,108.784,-2.199
0,2.00E+16,0.017,0.27,224.258,115.156,-2.496
0,2.00E+16,0.017,0.29,271.4475,121.494,-2.829
0,2.00E+16,0.017,0.31,321.441,127.66,-3.149
0,2.00E+16,0.019,0.15,46.1476,70.588,-0.933
0,2.00E+16,0.019,0.17,70.12315,78.02,-1.249
0,2.00E+16,0.019,0.19,99.27435,85.252,-1.599
0,2.00E+16,0.019,0.21,133.5915,92.336,-1.931
0,2.00E+16,0.019,0.23,173.014,99.176,-2.255
0,2.00E+16,0.019,0.25,217.2795,105.414,-2.617
0,2.00E+16,0.019,0.27,265.7295,111.636,-2.955
0,2.00E+16,0.019,0.29,316.81,117.824,-3.309
0,2.00E+16,0.019,0.31,367.442,123.512,-3.667
0,2.00E+16,0.021,0.15,58.3819,69.052,-1.171
0,2.00E+16,0.021,0.17,86.383,76.176,-1.527
0,2.00E+16,0.021,0.19,119.9615,83.228,-1.903
0,2.00E+16,0.021,0.21,159.037,90.024,-2.258
0,2.00E+16,0.021,0.23,203.323,96.32,-2.648
0,2.00E+16,0.021,0.25,252.041,102.724,-3.011
0,2.00E+16,0.021,0.27,303.249,108.812,-3.409
0,2.00E+16,0.021,0.29,353.865,114.304,-3.788
0,2.00E+16,0.021,0.31,400.6175,119.764,-4.185
0,2.00E+16,0.023,0.15,70.6445,59.308,-1.409
0,2.00E+16,0.023,0.17,102.701,69.6444,-1.804
0,2.00E+16,0.023,0.19,140.682,79.272,-2.202
0,2.00E+16,0.023,0.21,184.399,87.84,-2.616
0,2.00E+16,0.023,0.23,233.112,94.372,-3.008
0,2.00E+16,0.023,0.25,284.938,100.384,-3.435
0,2.00E+16,0.023,0.27,335.877,106.092,-3.859
0,2.00E+16,0.023,0.29,382.912,111.552,-4.268
0,2.00E+16,0.023,0.31,424.808,116.608,-4.703
0,2.00E+16,0.025,0.15,83.4165,60.706,-1.648
0,2.00E+16,0.025,0.17,119.244,70.488,-2.078
0,2.00E+16,0.025,0.19,161.253,79.276,-2.498
0,2.00E+16,0.025,0.21,208.773,85.96,-2.949
0,2.00E+16,0.025,0.23,259.91,92.064,-3.4
0,2.00E+16,0.025,0.25,310.584,97.824,-3.851
0,2.00E+16,0.025,0.27,357.673,103.22,-4.3
0,2.00E+16,0.025,0.29,400.77,108.572,-4.748
0,2.00E+16,0.025,0.31,439.609,113.372,-5.221
0,2.00E+16,0.027,0.15,96.2405,61.6276,-1.886
0,2.00E+16,0.027,0.17,135.683,70.748,-2.352
0,2.00E+16,0.027,0.19,181.275,78.1,-2.819
0,2.00E+16,0.027,0.21,231.347,84.116,-3.289
0,2.00E+16,0.027,0.23,281.96,89.816,-3.763
0,2.00E+16,0.027,0.25,329.266,95.388,-4.246
0,2.00E+16,0.027,0.27,372.885,100.776,-4.739
0,2.00E+16,0.027,0.29,413.529,105.792,-5.237
0,2.00E+16,0.027,0.31,450.38,110.376,-5.739
0,2.00E+16,0.029,0.15,109.038,62.13,-2.124
0,2.00E+16,0.029,0.17,151.839,70.3,-2.624
0,2.00E+16,0.029,0.19,200.224,76.388,-3.129
0,2.00E+16,0.029,0.21,250.728,82.268,-3.638
0,2.00E+16,0.029,0.23,298.585,87.924,-4.153
0,2.00E+16,0.029,0.25,342.646,93.284,-4.673
0,2.00E+16,0.029,0.27,384.037,98.38,-5.197
0,2.00E+16,0.029,0.29,423.069,103.172,-5.726
0,2.00E+16,0.029,0.31,458.558,107.584,-6.264
0,4.00E+16,0.015,0.15,23.32005,72.192,-0.46
0,4.00E+16,0.015,0.17,38.61695,80.072,-0.719
0,4.00E+16,0.015,0.19,58.08875,87.8,-0.98
0,4.00E+16,0.015,0.21,81.749,95.28,-1.242
0,4.00E+16,0.015,0.23,109.61295,102.536,-1.511
0,4.00E+16,0.015,0.25,141.659,109.532,-1.791
0,4.00E+16,0.015,0.27,177.815,116.268,-2.072
0,4.00E+16,0.015,0.29,217.8475,122.672,-2.353
0,4.00E+16,0.015,0.31,261.2985,128.162,-2.633
0,4.00E+16,0.017,0.15,34.1598,70.408,-0.699
0,4.00E+16,0.017,0.17,53.65615,77.984,-0.986
0,4.00E+16,0.017,0.19,77.75955,85.308,-1.292
0,4.00E+16,0.017,0.21,106.4902,92.392,-1.601
0,4.00E+16,0.017,0.23,139.838,99.308,-1.903
0,4.00E+16,0.017,0.25,177.7445,106.012,-2.203
0,4.00E+16,0.017,0.27,219.9695,112.06,-2.5
0,4.00E+16,0.017,0.29,265.9735,118.254,-2.835
0,4.00E+16,0.017,0.31,314.582,124.28,-3.153
0,4.00E+16,0.019,0.15,45.7992,68.844,-0.938
0,4.00E+16,0.019,0.17,69.3548,76.064,-1.257
0,4.00E+16,0.019,0.19,97.94375,83.176,-1.606
0,4.00E+16,0.019,0.21,131.56,90.064,-1.936
0,4.00E+16,0.019,0.23,170.127,96.7,-2.265
0,4.00E+16,0.019,0.25,213.3845,102.794,-2.624
0,4.00E+16,0.019,0.27,260.664,108.88,-2.96
0,4.00E+16,0.019,0.29,310.3355,114.856,-3.317
0,4.00E+16,0.019,0.31,359.348,120.32,-3.673
0,4.00E+16,0.021,0.15,57.9195,67.392,-1.178
0,4.00E+16,0.021,0.17,85.42165,74.332,-1.537
0,4.00E+16,0.021,0.19,118.3477,81.232,-1.91
0,4.00E+16,0.021,0.21,156.6135,87.82,-2.269
0,4.00E+16,0.021,0.23,199.9245,93.958,-2.656
0,4.00E+16,0.021,0.25,247.476,100.212,-3.023
0,4.00E+16,0.021,0.27,297.288,106.08,-3.417
0,4.00E+16,0.021,0.29,346.3245,111.412,-3.799
0,4.00E+16,0.021,0.31,391.409,116.728,-4.192
0,4.00E+16,0.023,0.15,70.0896,58.1972,-1.418
0,4.00E+16,0.023,0.17,101.567,68.208,-1.815
0,4.00E+16,0.023,0.19,138.803,77.528,-2.211
0,4.00E+16,0.023,0.21,181.599,85.784,-2.626
0,4.00E+16,0.023,0.23,229.193,92.1,-3.023
0,4.00E+16,0.023,0.25,279.64,97.876,-3.443
0,4.00E+16,0.023,0.27,328.949,103.492,-3.869
0,4.00E+16,0.023,0.29,374.342,108.7,-4.282
0,4.00E+16,0.023,0.31,414.604,113.664,-4.712
0,4.00E+16,0.025,0.15,82.7625,59.558,-1.658
0,4.00E+16,0.025,0.17,117.94,69.024,-2.091
0,4.00E+16,0.025,0.19,159.115,77.496,-2.514
0,4.00E+16,0.025,0.21,205.594,83.96,-2.959
0,4.00E+16,0.025,0.23,255.418,89.824,-3.411
0,4.00E+16,0.025,0.25,304.493,95.476,-3.864
0,4.00E+16,0.025,0.27,349.982,100.712,-4.315
0,4.00E+16,0.025,0.29,391.589,105.856,-4.764
0,4.00E+16,0.025,0.31,428.884,110.544,-5.231
0,4.00E+16,0.027,0.15,95.5007,60.4544,-1.899
0,4.00E+16,0.027,0.17,134.222,69.256,-2.366
0,4.00E+16,0.027,0.19,178.882,76.264,-2.835
0,4.00E+16,0.027,0.21,227.746,82.156,-3.306
0,4.00E+16,0.027,0.23,276.812,87.74,-3.782
0,4.00E+16,0.027,0.25,322.526,93.04,-4.263
0,4.00E+16,0.027,0.27,364.689,98.304,-4.75
0,4.00E+16,0.027,0.29,403.951,103.196,-5.248
0,4.00E+16,0.027,0.31,439.31,107.652,-5.751
0,4.00E+16,0.029,0.15,108.226,60.94,-2.14
0,4.00E+16,0.029,0.17,150.23,68.776,-2.64
0,4.00E+16,0.029,0.19,197.55,74.592,-3.144
0,4.00E+16,0.029,0.21,246.614,80.336,-3.654
0,4.00E+16,0.029,0.23,292.865,85.86,-4.168
0,4.00E+16,0.029,0.25,335.465,91.084,-4.688
0,4.00E+16,0.029,0.27,375.505,96.048,-5.211
0,4.00E+16,0.029,0.29,413.229,100.696,-5.739
0,4.00E+16,0.029,0.31,447.258,104.96,-6.286
0,6.00E+16,0.015,0.15,23.2529,70.74,-0.463
0,6.00E+16,0.015,0.17,38.3661,78.412,-0.722
0,6.00E+16,0.015,0.19,57.55785,85.972,-0.983
0,6.00E+16,0.015,0.21,80.84855,93.312,-1.245
0,6.00E+16,0.015,0.23,108.24265,100.408,-1.517
0,6.00E+16,0.015,0.25,139.7185,107.248,-1.797
0,6.00E+16,0.015,0.27,175.2005,113.824,-2.077
0,6.00E+16,0.015,0.29,214.45,120.068,-2.357
0,6.00E+16,0.015,0.31,256.999,125.444,-2.637
0,6.00E+16,0.017,0.15,34.02735,68.992,-0.703
0,6.00E+16,0.017,0.17,53.268,76.384,-0.99
0,6.00E+16,0.017,0.19,77.0165,83.576,-1.298
0,6.00E+16,0.017,0.21,105.28465,90.548,-1.606
0,6.00E+16,0.017,0.23,138.0625,97.308,-1.908
0,6.00E+16,0.017,0.25,175.2895,103.86,-2.207
0,6.00E+16,0.017,0.27,216.717,109.652,-2.509
0,6.00E+16,0.017,0.29,261.7945,115.726,-2.841
0,6.00E+16,0.017,0.31,309.311,121.636,-3.158
0,6.00E+16,0.019,0.15,45.59135,67.46,-0.944
0,6.00E+16,0.019,0.17,68.82405,74.56,-1.266
0,6.00E+16,0.019,0.19,96.976,81.528,-1.612
0,6.00E+16,0.019,0.21,130.0395,88.252,-1.942
0,6.00E+16,0.019,0.23,167.935,94.728,-2.274
0,6.00E+16,0.019,0.25,210.3935,100.702,-2.63
0,6.00E+16,0.019,0.27,256.7275,106.676,-2.965
0,6.00E+16,0.019,0.29,305.2725,112.48,-3.325
0,6.00E+16,0.019,0.31,352.957,117.76,-3.678
0,6.00E+16,0.021,0.15,57.64105,66.072,-1.185
0,6.00E+16,0.021,0.17,84.75975,72.904,-1.547
0,6.00E+16,0.021,0.19,117.18135,79.644,-1.918
0,6.00E+16,0.021,0.21,154.813,86.064,-2.28
0,6.00E+16,0.021,0.23,197.356,92.076,-2.663
0,6.00E+16,0.021,0.25,243.9685,98.2,-3.034
0,6.00E+16,0.021,0.27,292.6525,103.892,-3.424
0,6.00E+16,0.021,0.29,340.4015,109.164,-3.81
0,6.00E+16,0.021,0.31,384.059,114.276,-4.199
0,6.00E+16,0.023,0.15,69.7605,57.3368,-1.427
0,6.00E+16,0.023,0.17,100.793,67.0856,-1.826
0,6.00E+16,0.023,0.19,137.448,76.152,-2.219
0,6.00E+16,0.023,0.21,179.52,84.148,-2.635
0,6.00E+16,0.023,0.23,226.226,90.284,-3.036
0,6.00E+16,0.023,0.25,275.557,95.864,-3.452
0,6.00E+16,0.023,0.27,323.532,101.416,-3.879
0,6.00E+16,0.023,0.29,367.588,106.408,-4.296
0,6.00E+16,0.023,0.31,406.481,111.3,-4.72
0,6.00E+16,0.025,0.15,82.3787,58.6676,-1.669
0,6.00E+16,0.025,0.17,117.056,67.876,-2.103
0,6.00E+16,0.025,0.19,157.58,76.088,-2.53
0,6.00E+16,0.025,0.21,203.235,82.368,-2.969
0,6.00E+16,0.025,0.23,251.995,88.028,-3.422
0,6.00E+16,0.025,0.25,299.761,93.6,-3.876
0,6.00E+16,0.025,0.27,343.948,98.756,-4.329
0,6.00E+16,0.025,0.29,384.342,103.672,-4.781
0,6.00E+16,0.025,0.31,420.33,108.268,-5.241
0,6.00E+16,0.027,0.15,95.0744,59.5432,-1.912
0,6.00E+16,0.027,0.17,133.24,68.084,-2.38
0,6.00E+16,0.027,0.19,177.167,74.788,-2.85
0,6.00E+16,0.027,0.21,225.056,80.592,-3.323
0,6.00E+16,0.027,0.23,272.852,86.084,-3.8
0,6.00E+16,0.027,0.25,317.267,91.292,-4.282
0,6.00E+16,0.027,0.27,358.246,96.316,-4.771
0,6.00E+16,0.027,0.29,396.384,101.112,-5.267
0,6.00E+16,0.027,0.31,430.471,105.46,-5.772
0,6.00E+16,0.029,0.15,107.768,60.0068,-2.155
0,6.00E+16,0.029,0.17,149.155,67.56,-2.655
0,6.00E+16,0.029,0.19,195.624,73.244,-3.16
0,6.00E+16,0.029,0.21,243.502,78.78,-3.669
0,6.00E+16,0.029,0.23,288.437,84.196,-4.183
0,6.00E+16,0.029,0.25,329.849,89.32,-4.702
0,6.00E+16,0.029,0.27,368.795,94.168,-5.225
0,6.00E+16,0.029,0.29,405.454,98.708,-5.754
0,6.00E+16,0.029,0.31,438.226,102.84,-6.307
0,8.00E+16,0.015,0.15,23.23065,69.544,-0.466
0,8.00E+16,0.015,0.17,38.2009,77.04,-0.725
0,8.00E+16,0.015,0.19,57.1703,84.456,-0.986
0,8.00E+16,0.015,0.21,80.15935,91.668,-1.248
0,8.00E+16,0.015,0.23,107.17165,98.636,-1.523
0,8.00E+16,0.015,0.25,138.183,105.344,-1.802
0,8.00E+16,0.015,0.27,173.1135,111.792,-2.081
0,8.00E+16,0.015,0.29,211.718,117.904,-2.361
0,8.00E+16,0.015,0.31,253.522,123.188,-2.641
0,8.00E+16,0.017,0.15,33.96615,67.856,-0.707
0,8.00E+16,0.017,0.17,53.0066,75.116,-0.994
0,8.00E+16,0.017,0.19,76.4684,82.18,-1.305
0,8.00E+16,0.017,0.21,104.3629,89.024,-1.611
0,8.00E+16,0.017,0.23,136.6795,95.656,-1.913
0,8.00E+16,0.017,0.25,173.351,102.08,-2.211
0,8.00E+16,0.017,0.27,214.1235,107.702,-2.517
0,8.00E+16,0.017,0.29,258.436,113.624,-2.847
0,8.00E+16,0.017,0.31,305.039,119.44,-3.163
0,8.00E+16,0.019,0.15,45.48735,66.336,-0.949
0,8.00E+16,0.019,0.17,68.46805,73.352,-1.275
0,8.00E+16,0.019,0.19,96.27405,80.184,-1.619
0,8.00E+16,0.019,0.21,128.8965,86.78,-1.947
0,8.00E+16,0.019,0.23,166.2525,93.116,-2.284
0,8.00E+16,0.019,0.25,208.0645,98.994,-2.637
0,8.00E+16,0.019,0.27,253.6285,104.88,-2.971
0,8.00E+16,0.019,0.29,301.243,110.54,-3.333
0,8.00E+16,0.019,0.31,347.81,115.664,-3.684
0,8.00E+16,0.021,0.15,57.49805,64.996,-1.192
0,8.00E+16,0.021,0.17,84.31665,71.752,-1.557
0,8.00E+16,0.021,0.19,116.3366,78.352,-1.925
0,8.00E+16,0.021,0.21,153.462,84.624,-2.291
0,8.00E+16,0.021,0.23,195.3835,90.534,-2.671
0,8.00E+16,0.021,0.25,241.236,96.564,-3.045
0,8.00E+16,0.021,0.27,288.9865,102.1,-3.431
0,8.00E+16,0.021,0.29,335.662,107.324,-3.82
0,8.00E+16,0.021,0.31,378.102,112.264,-4.206
0,8.00E+16,0.023,0.15,69.5974,56.658,-1.436
0,8.00E+16,0.023,0.17,100.282,66.1876,-1.837
0,8.00E+16,0.023,0.19,136.478,75.044,-2.227
0,8.00E+16,0.023,0.21,177.971,82.82,-2.645
0,8.00E+16,0.023,0.23,223.954,88.804,-3.049
0,8.00E+16,0.023,0.25,272.36,94.22,-3.46
0,8.00E+16,0.023,0.27,319.22,99.716,-3.889
0,8.00E+16,0.023,0.29,362.16,104.584,-4.309
0,8.00E+16,0.023,0.31,399.87,109.352,-4.728
0,8.00E+16,0.025,0.15,82.1933,57.964,-1.68
0,8.00E+16,0.025,0.17,116.48,66.9568,-2.116
0,8.00E+16,0.025,0.19,156.487,74.944,-2.545
0,8.00E+16,0.025,0.21,201.475,81.068,-2.979
0,8.00E+16,0.025,0.23,249.353,86.552,-3.433
0,8.00E+16,0.025,0.25,296.021,92.064,-3.888
0,8.00E+16,0.025,0.27,339.123,97.16,-4.343
0,8.00E+16,0.025,0.29,378.506,101.872,-4.797
0,8.00E+16,0.025,0.31,413.35,106.396,-5.251
0,8.00E+16,0.027,0.15,94.8783,58.822,-1.925
0,8.00E+16,0.027,0.17,132.609,67.144,-2.393
0,8.00E+16,0.027,0.19,175.948,73.58,-2.864
0,8.00E+16,0.027,0.21,223.032,79.308,-3.339
0,8.00E+16,0.027,0.23,269.757,84.728,-3.817
0,8.00E+16,0.027,0.25,313.088,89.868,-4.3
0,8.00E+16,0.027,0.27,353.084,94.672,-4.79
0,8.00E+16,0.027,0.29,390.285,99.392,-5.287
0,8.00E+16,0.027,0.31,423.242,103.652,-5.791
0,8.00E+16,0.029,0.15,107.572,59.27,-2.17
0,8.00E+16,0.029,0.17,148.471,66.572,-2.67
0,8.00E+16,0.029,0.19,194.244,72.172,-3.175
0,8.00E+16,0.029,0.21,241.12,77.536,-3.684
0,8.00E+16,0.029,0.23,284.951,82.828,-4.198
0,8.00E+16,0.029,0.25,325.375,87.864,-4.716
0,8.00E+16,0.029,0.27,363.413,92.624,-5.239
0,8.00E+16,0.029,0.29,399.185,97.068,-5.777
0,8.00E+16,0.029,0.31,430.83,101.092,-6.327
0,1.00E+17,0.015,0.15,23.2441,68.56,-0.469
0,1.00E+17,0.015,0.17,38.10295,75.944,-0.728
0,1.00E+17,0.015,0.19,56.8946,83.2,-0.989
0,1.00E+17,0.015,0.21,79.6396,90.304,-1.252
0,1.00E+17,0.015,0.23,106.3409,97.16,-1.529
0,1.00E+17,0.015,0.25,136.977,103.772,-1.807
0,1.00E+17,0.015,0.27,171.4475,110.104,-2.086
0,1.00E+17,0.015,0.29,209.5195,116.108,-2.365
0,1.00E+17,0.015,0.31,250.704,121.312,-2.645
0,1.00E+17,0.017,0.15,33.96105,66.924,-0.711
0,1.00E+17,0.017,0.17,52.84425,74.068,-0.999
0,1.00E+17,0.017,0.19,76.0763,81.02,-1.311
0,1.00E+17,0.017,0.21,103.66855,87.76,-1.617
0,1.00E+17,0.017,0.23,135.6085,94.288,-1.917
0,1.00E+17,0.017,0.25,171.825,100.6,-2.216
0,1.00E+17,0.017,0.27,212.0585,106.15,-2.525
0,1.00E+17,0.017,0.29,255.736,111.868,-2.853
0,1.00E+17,0.017,0.31,301.5695,117.608,-3.168
0,1.00E+17,0.019,0.15,45.46795,65.444,-0.955
0,1.00E+17,0.019,0.17,68.25325,72.384,-1.284
0,1.00E+17,0.019,0.19,95.787,79.1,-1.626
0,1.00E+17,0.019,0.21,128.058,85.584,-1.953
0,1.00E+17,0.019,0.23,164.98,91.808,-2.293
0,1.00E+17,0.019,0.25,206.269,97.604,-2.643
0,1.00E+17,0.019,0.27,251.2055,103.412,-2.976
0,1.00E+17,0.019,0.29,298.051,108.956,-3.341
0,1.00E+17,0.019,0.31,343.667,113.944,-3.69
0,1.00E+17,0.021,0.15,57.46475,64.132,-1.199
0,1.00E+17,0.021,0.17,84.051,70.82,-1.567
0,1.00E+17,0.021,0.19,115.75435,77.3,-1.932
0,1.00E+17,0.021,0.21,152.4745,83.452,-2.302
0,1.00E+17,0.021,0.23,193.8955,89.274,-2.678
0,1.00E+17,0.021,0.25,239.128,95.224,-3.056
0,1.00E+17,0.021,0.27,286.105,100.628,-3.439
0,1.00E+17,0.021,0.29,331.8815,105.816,-3.83
0,1.00E+17,0.021,0.31,373.272,110.608,-4.213
0,1.00E+17,0.023,0.15,69.5602,56.1164,-1.445
0,1.00E+17,0.023,0.17,99.9704,65.4608,-1.848
0,1.00E+17,0.023,0.19,135.798,74.14,-2.236
0,1.00E+17,0.023,0.21,176.819,81.72,-2.654
0,1.00E+17,0.023,0.23,222.205,87.576,-3.062
0,1.00E+17,0.023,0.25,269.829,92.88,-3.469
0,1.00E+17,0.023,0.27,315.739,98.3,-3.899
0,1.00E+17,0.023,0.29,357.73,103.128,-4.321
0,1.00E+17,0.023,0.31,394.386,107.728,-4.737
0,1.00E+17,0.025,0.15,82.1583,57.4016,-1.691
0,1.00E+17,0.025,0.17,116.157,66.2392,-2.128
0,1.00E+17,0.025,0.19,155.727,74.008,-2.56
0,1.00E+17,0.025,0.21,200.167,79.992,-2.989
0,1.00E+17,0.025,0.23,247.298,85.332,-3.444
0,1.00E+17,0.025,0.25,293.027,90.788,-3.899
0,1.00E+17,0.025,0.27,335.207,95.832,-4.356
0,1.00E+17,0.025,0.29,373.731,100.384,-4.812
0,1.00E+17,0.025,0.31,407.537,104.828,-5.269
0,1.00E+17,0.027,0.15,94.8563,58.2432,-1.938
0,1.00E+17,0.027,0.17,132.242,66.372,-2.407
0,1.00E+17,0.027,0.19,175.103,72.616,-2.879
0,1.00E+17,0.027,0.21,221.507,78.24,-3.354
0,1.00E+17,0.027,0.23,267.312,83.6,-3.833
0,1.00E+17,0.027,0.25,309.722,88.684,-4.318
0,1.00E+17,0.027,0.27,348.885,93.428,-4.808
0,1.00E+17,0.027,0.29,385.29,97.948,-5.305
0,1.00E+17,0.027,0.31,417.206,102.132,-5.809
0,1.00E+17,0.029,0.15,107.572,58.6724,-2.185
0,1.00E+17,0.029,0.17,148.081,65.756,-2.685
0,1.00E+17,0.029,0.19,193.274,71.284,-3.189
0,1.00E+17,0.029,0.21,239.284,76.58,-3.698
0,1.00E+17,0.029,0.23,282.173,81.684,-4.212
0,1.00E+17,0.029,0.25,321.759,86.644,-4.73
0,1.00E+17,0.029,0.27,359.029,91.328,-5.254
0,1.00E+17,0.029,0.29,394.048,95.692,-5.799
0,1.00E+17,0.029,0.31,424.637,99.616,-6.346
0,2.00E+17,0.015,0.15,26.379955,65.19,-0.49
0,2.00E+17,0.015,0.17,40.46605,72.378,-0.821
0,2.00E+17,0.015,0.19,56.5157,79.284,-1.011
0,2.00E+17,0.015,0.21,80.15065,85.9,-1.348
0,2.00E+17,0.015,0.23,105.70765,91.64,-1.6
0,2.00E+17,0.015,0.25,134.9846,98.588,-1.879
0,2.00E+17,0.015,0.27,167.825,103.824,-2.182
0,2.00E+17,0.015,0.29,203.9045,108.507,-2.415
0,2.00E+17,0.015,0.31,242.517,114.326,-2.757
0,2.00E+17,0.017,0.15,34.44235,64.012,-0.734
0,2.00E+17,0.017,0.17,52.9187,70.784,-1.035
0,2.00E+17,0.017,0.19,75.50195,77.364,-1.342
0,2.00E+17,0.017,0.21,102.21075,83.744,-1.643
0,2.00E+17,0.017,0.23,133.025,89.924,-1.941
0,2.00E+17,0.017,0.25,167.845,95.872,-2.238
0,2.00E+17,0.017,0.27,206.3945,101.194,-2.562
0,2.00E+17,0.017,0.29,248.059,106.324,-2.881
0,2.00E+17,0.017,0.31,291.285,111.632,-3.192
0,2.00E+17,0.019,0.15,46.0502,62.684,-0.984
0,2.00E+17,0.019,0.17,68.31315,69.24,-1.325
0,2.00E+17,0.019,0.19,95.06605,75.576,-1.658
0,2.00E+17,0.019,0.21,126.2925,81.676,-1.982
0,2.00E+17,0.019,0.23,161.8945,87.504,-2.335
0,2.00E+17,0.019,0.25,201.541,93.06,-2.675
0,2.00E+17,0.019,0.27,244.4195,98.636,-3.008
0,2.00E+17,0.019,0.29,288.6545,103.752,-3.378
0,2.00E+17,0.019,0.31,330.749,108.208,-3.719
0,2.00E+17,0.021,0.15,58.18435,61.472,-1.235
0,2.00E+17,0.021,0.17,84.14655,67.82,-1.613
0,2.00E+17,0.021,0.19,114.9403,73.88,-1.969
0,2.00E+17,0.021,0.21,150.45,79.596,-2.351
0,2.00E+17,0.021,0.23,190.311,85.136,-2.715
0,2.00E+17,0.021,0.25,233.515,90.844,-3.105
0,2.00E+17,0.021,0.27,277.847,95.896,-3.475
0,2.00E+17,0.021,0.29,320.471,100.892,-3.876
0,2.00E+17,0.021,0.31,357.6275,105.076,-4.248
0,2.00E+17,0.023,0.15,70.5063,54.6148,-1.489
0,2.00E+17,0.023,0.17,100.195,63.3328,-1.9
0,2.00E+17,0.023,0.19,134.982,71.384,-2.296
0,2.00E+17,0.023,0.21,174.605,78.264,-2.701
0,2.00E+17,0.023,0.23,218.104,83.624,-3.119
0,2.00E+17,0.023,0.25,263.068,88.848,-3.52
0,2.00E+17,0.023,0.27,305.805,93.772,-3.946
0,2.00E+17,0.023,0.29,344.402,98.468,-4.377
0,2.00E+17,0.023,0.31,376.414,102.468,-4.8
0,2.00E+17,0.025,0.15,83.3325,55.8264,-1.743
0,2.00E+17,0.025,0.17,116.515,64.024,-2.185
0,2.00E+17,0.025,0.19,154.89,71.08,-2.626
0,2.00E+17,0.025,0.21,197.619,76.548,-3.063
0,2.00E+17,0.025,0.23,242.194,81.768,-3.495
0,2.00E+17,0.025,0.25,284.757,86.66,-3.955
0,2.00E+17,0.025,0.27,323.664,91.556,-4.416
0,2.00E+17,0.025,0.29,359.244,95.98,-4.88
0,2.00E+17,0.025,0.31,387.976,99.876,-5.346
0,2.00E+17,0.027,0.15,96.3066,56.6,-2
0,2.00E+17,0.027,0.17,132.762,64.024,-2.471
0,2.00E+17,0.027,0.19,174.181,69.752,-2.946
0,2.00E+17,0.027,0.21,218.27,74.908,-3.424
0,2.00E+17,0.027,0.23,260.922,79.98,-3.907
0,2.00E+17,0.027,0.25,300.055,84.868,-4.394
0,2.00E+17,0.027,0.27,336.386,89.44,-4.886
0,2.00E+17,0.027,0.29,370.071,93.668,-5.384
0,2.00E+17,0.027,0.31,396.419,97.468,-5.888
0,2.00E+17,0.029,0.15,109.337,56.9428,-2.262
0,2.00E+17,0.029,0.17,148.747,63.128,-2.761
0,2.00E+17,0.029,0.19,192.015,68.444,-3.267
0,2.00E+17,0.029,0.21,234.998,73.56,-3.78
0,2.00E+17,0.029,0.23,274.512,78.42,-4.3
0,2.00E+17,0.029,0.25,311.247,83.048,-4.826
0,2.00E+17,0.029,0.27,345.919,87.428,-5.356
0,2.00E+17,0.029,0.29,378.365,91.52,-5.891
